VEHICLE_NO	VCLE_KEYID	VIN	TERMINAL_ID
N15/03-419	26846	KNACC5AC7F1P98024	BM-15C-0173
N15/03-420	26532	KNACC51CGF1P98053	BM-15C-0066
N15/03-468	38129	5XXGU4L36GG000064	BM-15C-0141
N15/03-468	31557	5XXGU4L36GG000064	BM-15C-0122
N15/03-481	30074	KMHG541DBE1T98022	BM-15C-0195
N15/03-493	26860	KNACC51CGF1P98038	BM-15C-0016
N15/03-522	26856	KNACC5AC4F1P98034	BM-15C-0164
N15/03-575	26825	KNACC5AC8F1P98002	BM-15C-0106
N15/03-577	26852	KNACC51CGF1P98030	BM-15C-0084
N15/03-579	26855	KNACC5AC7F1P98033	BM-15C-0069
N15/04-053	18240	KMHE341AGFA117703	BM-15C-0158
N15/04-067	26845	KNACC51CGF1P98023	BM-15C-0078
N15/04-070	38146	5XXGW4L23GG000085	BM-15C-0187
N15/04-105	26887	KNACC5AC0F1P98066	BM-15C-0028
N15/04-114	19264	KMHE5411BGA008367	BM-15C-0127
N15/04-114	44769	KMHE5411BGA008367	BM-15C-0127
N15/04-127	37827	KNAGW412BG5000035	BM-15C-0125
N15/04-172	18248	KMHE241AGFA118151	BM-15C-0037
N15/04-178	34169	KNDPR3AC9G7000188	BM-15C-0094
