VEHICLE_NO	VCLE_KEYID	VIN	TERMINAL_ID
Y20/08-012	163694	Y20/08-012_temp	VM-18L-0151
YC1802-C001	134199	YC1802-C001	VM-18L-0147
Z21/99-001	185155	Z21-99-001	BM-16L-0107
N19/08-728	146119	N19/08-728	VM-21C-0016
A23/02-021	223294	33205	VM-23H-0021
A23/02-023	223296	33210	VM-23H-0023
A23/02-001	223274	33215	VM-23H-0001
A23/02-069	223342	33216	VM-23H-0069
A23/02-009	223282	33220	VM-23H-0009
A23/02-011	223284	33221	VM-23H-0011
A23/02-013	223286	33222	VM-23H-0013
A23/02-007	223280	33223	VM-23H-0007
A23/02-017	223290	33224	VM-23H-0017
A23/02-027	223300	33225	VM-23H-0027
A23/02-005	223278	33226	VM-23H-0005
A23/02-019	223292	33227	VM-23H-0019
A23/02-015	223288	33228	VM-23H-0015
A23/02-033	223306	33229	VM-23H-0033
A23/02-029	223302	33230	VM-23H-0029
A23/02-039	223313	33231	VM-23H-0039
A23/02-025	223298	33232	VM-23H-0025
A23/02-003	223276	33233	VM-23H-0003
A23/02-031	223304	33234	VM-23H-0031
A23/02-037	223310	33886	VM-23H-0037
A23/02-022	223295	33205	VM-23H-0022
A23/02-024	223297	33210	VM-23H-0024
A23/02-002	223275	33215	VM-23H-0002
A23/02-070	223343	33216	VM-23H-0070
A23/02-010	223283	33220	VM-23H-0010
VM-23H-036	223309	33221	VM-23H-0036
A23/02-014	223287	33222	VM-23H-0014
A23/02-008	223281	33223	VM-23H-0008
A23/02-018	223291	33224	VM-23H-0018
A23/02-028	223301	33225	VM-23H-0028
A23/02-006	223279	33226	VM-23H-0006
A23/02-020	223293	33227	VM-23H-0020
A23/02-016	223289	33228	VM-23H-0016
A23/02-034	223307	33229	VM-23H-0034
A23/02-030	223303	33230	VM-23H-0030
A23/02-040	223314	33231	VM-23H-0040
A23/02-026	223299	33232	VM-23H-0026
A23/02-004	223277	33233	VM-23H-0004
A23/02-032	223305	33234	VM-23H-0032
A23/02-038	223311	33886	VM-23H-0038
